session_id,user_id,started_at,ended_at,device_type,platform,source_page,country,city,app_version
chat-1775239181500-j18fk3,,2026-04-03T18:00:22.189320+00:00,,web,browser,chat,,,1.0.0
chat-1775294810809-bon09t,,2026-04-04T09:27:12.466678+00:00,,web,browser,chat,,,1.0.0
chat-1775297565201-gfbyn4,,2026-04-04T10:40:46.479893+00:00,,web,browser,chat,,,1.0.0
chat-1775299287161-nb6r12,,2026-04-04T10:41:48.040149+00:00,,web,browser,chat,,,1.0.0
chat-1775299898483-1k6gz0,,2026-04-04T10:52:57.891463+00:00,,web,browser,chat,,,1.0.0
chat_72b1ab700dd5,,2026-04-04T19:29:44.418967+00:00,,web,browser,chat,,,1.0.0
chat_dba9b9177129,,2026-04-04T19:29:48.962445+00:00,,web,browser,chat,,,1.0.0
chat_c98446291094,,2026-04-04T19:29:49.888968+00:00,,web,browser,chat,,,1.0.0
chat_565585d2af24,,2026-04-04T19:29:50.138711+00:00,,web,browser,chat,,,1.0.0
chat_f2329b99359b,,2026-04-04T19:29:50.766762+00:00,,web,browser,chat,,,1.0.0
chat_3b68e6047f75,,2026-04-04T19:29:53.140523+00:00,,web,browser,chat,,,1.0.0
chat_e8c58c93606d,,2026-04-04T19:34:26.345974+00:00,,web,browser,chat,,,1.0.0
sess_test,,2026-04-04T20:27:57.399900+00:00,,web,browser,bookings,,,1.0.0
chat-1775336681705-xtzikn,,2026-04-04T21:04:44.651808+00:00,,web,browser,chat,,,1.0.0
